item_id,consumer_path,cons_x1,cons_y1,cons_x2,cons_y2,shop_path,shop_x1,shop_y1,shop_x2,shop_y2,split
id_00001342,img/TOPS/T_Shirt/id_00001342/consumer_01.jpg,1,89,300,226,img/TOPS/T_Shirt/id_00001342/shop_01.jpg,1,1,226,300,train
id_00001342,img/TOPS/T_Shirt/id_00001342/consumer_02.jpg,1,1,225,300,img/TOPS/T_Shirt/id_00001342/shop_01.jpg,1,1,226,300,train
id_00001342,img/TOPS/T_Shirt/id_00001342/consumer_03.jpg,1,42,300,226,img/TOPS/T_Shirt/id_00001342/shop_01.jpg,1,1,226,300,train
id_00001342,img/TOPS/T_Shirt/id_00001342/consumer_04.jpg,1,1,225,300,img/TOPS/T_Shirt/id_00001342/shop_01.jpg,1,1,226,300,train
id_00001342,img/TOPS/T_Shirt/id_00001342/consumer_05.jpg,1,88,225,300,img/TOPS/T_Shirt/id_00001342/shop_01.jpg,1,1,226,300,train
id_00001342,img/TOPS/T_Shirt/id_00001342/consumer_06.jpg,1,1,224,188,img/TOPS/T_Shirt/id_00001342/shop_01.jpg,1,1,226,300,train
id_00001342,img/TOPS/T_Shirt/id_00001342/consumer_07.jpg,1,22,225,297,img/TOPS/T_Shirt/id_00001342/shop_01.jpg,1,1,226,300,train
id_00001430,img/TOPS/T_Shirt/id_00001430/consumer_01.jpg,42,137,151,248,img/TOPS/T_Shirt/id_00001430/shop_01.jpg,1,7,236,275,train
id_00002286,img/TOPS/T_Shirt/id_00002286/consumer_01.jpg,26,72,225,261,img/TOPS/Summer_Wear/id_00002286/shop_01.jpg,1,1,200,249,train
id_00002286,img/TOPS/T_Shirt/id_00002286/consumer_01.jpg,26,72,225,261,img/TOPS/Summer_Wear/id_00002286/shop_02.jpg,10,1,200,262,train
id_00002286,img/TOPS/T_Shirt/id_00002286/consumer_02.jpg,74,129,147,188,img/TOPS/Summer_Wear/id_00002286/shop_01.jpg,1,1,200,249,train
id_00002286,img/TOPS/T_Shirt/id_00002286/consumer_02.jpg,74,129,147,188,img/TOPS/Summer_Wear/id_00002286/shop_02.jpg,10,1,200,262,train
id_00002436,img/TOPS/T_Shirt/id_00002436/consumer_01.jpg,16,1,220,300,img/TOPS/T_Shirt/id_00002436/shop_01.jpg,32,1,199,300,train
id_00002436,img/TOPS/T_Shirt/id_00002436/consumer_01.jpg,16,1,220,300,img/TOPS/T_Shirt/id_00002436/shop_02.jpg,12,1,190,300,train
id_00002436,img/TOPS/T_Shirt/id_00002436/consumer_02.jpg,1,1,225,140,img/TOPS/T_Shirt/id_00002436/shop_01.jpg,32,1,199,300,train
id_00002436,img/TOPS/T_Shirt/id_00002436/consumer_02.jpg,1,1,225,140,img/TOPS/T_Shirt/id_00002436/shop_02.jpg,12,1,190,300,train
id_00002436,img/TOPS/T_Shirt/id_00002436/consumer_03.jpg,75,25,182,253,img/TOPS/T_Shirt/id_00002436/shop_01.jpg,32,1,199,300,train
id_00002436,img/TOPS/T_Shirt/id_00002436/consumer_03.jpg,75,25,182,253,img/TOPS/T_Shirt/id_00002436/shop_02.jpg,12,1,190,300,train
id_00002436,img/TOPS/T_Shirt/id_00002436/consumer_04.jpg,6,1,95,181,img/TOPS/T_Shirt/id_00002436/shop_01.jpg,32,1,199,300,train
id_00002436,img/TOPS/T_Shirt/id_00002436/consumer_04.jpg,6,1,95,181,img/TOPS/T_Shirt/id_00002436/shop_02.jpg,12,1,190,300,train
id_00002932,img/TOPS/T_Shirt/id_00002932/consumer_01.jpg,1,4,225,296,img/TOPS/T_Shirt/id_00002932/shop_01.jpg,1,32,200,255,train
id_00002932,img/TOPS/T_Shirt/id_00002932/consumer_01.jpg,1,4,225,296,img/TOPS/T_Shirt/id_00002932/shop_02.jpg,1,39,200,258,train
id_00002932,img/TOPS/T_Shirt/id_00002932/consumer_01.jpg,1,4,225,296,img/TOPS/T_Shirt/id_00002932/shop_03.jpg,1,39,200,252,train
id_00002932,img/TOPS/T_Shirt/id_00002932/consumer_02.jpg,1,11,225,300,img/TOPS/T_Shirt/id_00002932/shop_01.jpg,1,32,200,255,train
id_00002932,img/TOPS/T_Shirt/id_00002932/consumer_02.jpg,1,11,225,300,img/TOPS/T_Shirt/id_00002932/shop_02.jpg,1,39,200,258,train
id_00002932,img/TOPS/T_Shirt/id_00002932/consumer_02.jpg,1,11,225,300,img/TOPS/T_Shirt/id_00002932/shop_03.jpg,1,39,200,252,train
id_00002932,img/TOPS/T_Shirt/id_00002932/consumer_03.jpg,1,15,225,300,img/TOPS/T_Shirt/id_00002932/shop_01.jpg,1,32,200,255,train
id_00002932,img/TOPS/T_Shirt/id_00002932/consumer_03.jpg,1,15,225,300,img/TOPS/T_Shirt/id_00002932/shop_02.jpg,1,39,200,258,train
id_00002932,img/TOPS/T_Shirt/id_00002932/consumer_03.jpg,1,15,225,300,img/TOPS/T_Shirt/id_00002932/shop_03.jpg,1,39,200,252,train
id_00002932,img/TOPS/T_Shirt/id_00002932/consumer_04.jpg,1,1,225,300,img/TOPS/T_Shirt/id_00002932/shop_01.jpg,1,32,200,255,train
id_00002932,img/TOPS/T_Shirt/id_00002932/consumer_04.jpg,1,1,225,300,img/TOPS/T_Shirt/id_00002932/shop_02.jpg,1,39,200,258,train
id_00002932,img/TOPS/T_Shirt/id_00002932/consumer_04.jpg,1,1,225,300,img/TOPS/T_Shirt/id_00002932/shop_03.jpg,1,39,200,252,train
id_00002932,img/TOPS/T_Shirt/id_00002932/consumer_05.jpg,1,86,225,300,img/TOPS/T_Shirt/id_00002932/shop_01.jpg,1,32,200,255,train
id_00002932,img/TOPS/T_Shirt/id_00002932/consumer_05.jpg,1,86,225,300,img/TOPS/T_Shirt/id_00002932/shop_02.jpg,1,39,200,258,train
id_00002932,img/TOPS/T_Shirt/id_00002932/consumer_05.jpg,1,86,225,300,img/TOPS/T_Shirt/id_00002932/shop_03.jpg,1,39,200,252,train
id_00003112,img/TOPS/T_Shirt/id_00003112/consumer_01.jpg,54,8,169,221,img/TOPS/T_Shirt/id_00003112/shop_01.jpg,28,58,167,291,train
id_00004151,img/TOPS/T_Shirt/id_00004151/consumer_01.jpg,1,1,300,300,img/TOPS/T_Shirt/id_00004151/shop_01.jpg,32,55,164,272,train
id_00004378,img/TOPS/T_Shirt/id_00004378/consumer_01.jpg,1,1,300,225,img/TOPS/T_Shirt/id_00004378/shop_01.jpg,17,37,189,275,train
id_00004378,img/TOPS/T_Shirt/id_00004378/consumer_01.jpg,1,1,300,225,img/TOPS/T_Shirt/id_00004378/shop_02.jpg,10,40,190,284,train
id_00004378,img/TOPS/T_Shirt/id_00004378/consumer_02.jpg,1,1,200,232,img/TOPS/T_Shirt/id_00004378/shop_01.jpg,17,37,189,275,train
id_00004378,img/TOPS/T_Shirt/id_00004378/consumer_02.jpg,1,1,200,232,img/TOPS/T_Shirt/id_00004378/shop_02.jpg,10,40,190,284,train
id_00004378,img/TOPS/T_Shirt/id_00004378/consumer_03.jpg,62,81,223,300,img/TOPS/T_Shirt/id_00004378/shop_01.jpg,17,37,189,275,train
id_00004378,img/TOPS/T_Shirt/id_00004378/consumer_03.jpg,62,81,223,300,img/TOPS/T_Shirt/id_00004378/shop_02.jpg,10,40,190,284,train
id_00004378,img/TOPS/T_Shirt/id_00004378/consumer_04.jpg,1,52,225,286,img/TOPS/T_Shirt/id_00004378/shop_01.jpg,17,37,189,275,train
id_00004378,img/TOPS/T_Shirt/id_00004378/consumer_04.jpg,1,52,225,286,img/TOPS/T_Shirt/id_00004378/shop_02.jpg,10,40,190,284,train
id_00004378,img/TOPS/T_Shirt/id_00004378/consumer_05.jpg,3,43,157,295,img/TOPS/T_Shirt/id_00004378/shop_01.jpg,17,37,189,275,train
id_00004378,img/TOPS/T_Shirt/id_00004378/consumer_05.jpg,3,43,157,295,img/TOPS/T_Shirt/id_00004378/shop_02.jpg,10,40,190,284,train
id_00004378,img/TOPS/T_Shirt/id_00004378/consumer_06.jpg,1,1,225,300,img/TOPS/T_Shirt/id_00004378/shop_01.jpg,17,37,189,275,train
id_00004378,img/TOPS/T_Shirt/id_00004378/consumer_06.jpg,1,1,225,300,img/TOPS/T_Shirt/id_00004378/shop_02.jpg,10,40,190,284,train
id_00004378,img/TOPS/T_Shirt/id_00004378/consumer_07.jpg,1,1,225,300,img/TOPS/T_Shirt/id_00004378/shop_01.jpg,17,37,189,275,train
id_00004378,img/TOPS/T_Shirt/id_00004378/consumer_07.jpg,1,1,225,300,img/TOPS/T_Shirt/id_00004378/shop_02.jpg,10,40,190,284,train
id_00004378,img/TOPS/T_Shirt/id_00004378/consumer_08.jpg,20,1,202,173,img/TOPS/T_Shirt/id_00004378/shop_01.jpg,17,37,189,275,train
id_00004378,img/TOPS/T_Shirt/id_00004378/consumer_08.jpg,20,1,202,173,img/TOPS/T_Shirt/id_00004378/shop_02.jpg,10,40,190,284,train
id_00004378,img/TOPS/T_Shirt/id_00004378/consumer_09.jpg,1,12,169,198,img/TOPS/T_Shirt/id_00004378/shop_01.jpg,17,37,189,275,train
id_00004378,img/TOPS/T_Shirt/id_00004378/consumer_09.jpg,1,12,169,198,img/TOPS/T_Shirt/id_00004378/shop_02.jpg,10,40,190,284,train
id_00005080,img/TOPS/T_Shirt/id_00005080/consumer_01.jpg,10,1,225,282,img/TOPS/T_Shirt/id_00005080/shop_01.jpg,14,78,165,274,train
id_00005699,img/TOPS/T_Shirt/id_00005699/consumer_01.jpg,1,66,225,300,img/TOPS/T_Shirt/id_00005699/shop_01.jpg,1,4,200,300,train
id_00005791,img/TOPS/T_Shirt/id_00005791/consumer_01.jpg,1,1,225,300,img/TOPS/T_Shirt/id_00005791/shop_01.jpg,11,82,185,277,train
id_00005791,img/TOPS/T_Shirt/id_00005791/consumer_02.jpg,1,135,300,300,img/TOPS/T_Shirt/id_00005791/shop_01.jpg,11,82,185,277,train
id_00005791,img/TOPS/T_Shirt/id_00005791/consumer_03.jpg,1,65,225,300,img/TOPS/T_Shirt/id_00005791/shop_01.jpg,11,82,185,277,train
id_00005791,img/TOPS/T_Shirt/id_00005791/consumer_04.jpg,1,1,225,300,img/TOPS/T_Shirt/id_00005791/shop_01.jpg,11,82,185,277,train
id_00005791,img/TOPS/T_Shirt/id_00005791/consumer_05.jpg,1,102,225,300,img/TOPS/T_Shirt/id_00005791/shop_01.jpg,11,82,185,277,train
id_00006075,img/TOPS/T_Shirt/id_00006075/consumer_01.jpg,35,1,189,149,img/TOPS/T_Shirt/id_00006075/shop_01.jpg,39,59,170,234,train
id_00006075,img/TOPS/T_Shirt/id_00006075/consumer_02.jpg,31,1,188,172,img/TOPS/T_Shirt/id_00006075/shop_01.jpg,39,59,170,234,train
id_00006188,img/TOPS/T_Shirt/id_00006188/consumer_01.jpg,1,1,225,300,img/TOPS/T_Shirt/id_00006188/shop_01.jpg,18,68,200,273,train
id_00006188,img/TOPS/T_Shirt/id_00006188/consumer_02.jpg,1,24,225,299,img/TOPS/T_Shirt/id_00006188/shop_01.jpg,18,68,200,273,train
id_00006188,img/TOPS/T_Shirt/id_00006188/consumer_03.jpg,1,16,225,295,img/TOPS/T_Shirt/id_00006188/shop_01.jpg,18,68,200,273,train
id_00006188,img/TOPS/T_Shirt/id_00006188/consumer_04.jpg,1,1,169,282,img/TOPS/T_Shirt/id_00006188/shop_01.jpg,18,68,200,273,train
